Sample in Buffer,Sample in Window,TRIGGER,clk_200m,timeout_cnt_flag,tx_time[9:0],rx_time[9:0],delay[9:0],rec_pkt_done1,t_hz[7:0],us[9:0],ms[9:0]
0,0,0,0,0,3d3,3d3,002,0,c2,20c,380
1,1,0,0,0,3d3,3d3,002,0,c3,20c,380
2,2,0,0,0,3d3,3d3,002,0,c4,20c,380
3,3,0,0,0,3d3,3d3,002,0,c5,20c,380
4,4,0,0,0,3d3,3d3,002,0,c6,20c,380
5,5,0,0,0,3d3,3d3,002,0,c7,20c,380
6,6,0,0,0,3d3,3d3,002,0,c8,20c,380
7,7,0,0,0,3d3,3d3,002,0,00,20d,380
8,8,0,0,0,3d3,3d3,002,0,01,20d,380
9,9,0,0,0,3d3,3d3,002,0,02,20d,380
10,10,0,0,0,3d3,3d3,002,0,03,20d,380
11,11,0,0,0,3d3,3d3,002,0,04,20d,380
12,12,0,0,0,3d3,3d3,002,0,05,20d,380
13,13,0,0,0,3d3,3d3,002,0,06,20d,380
14,14,0,0,0,3d3,3d3,002,0,07,20d,380
15,15,0,0,0,3d3,3d3,002,0,08,20d,380
16,16,0,0,0,3d3,3d3,002,0,09,20d,380
17,17,0,0,0,3d3,3d3,002,0,0a,20d,380
18,18,0,0,0,3d3,3d3,002,0,0b,20d,380
19,19,0,0,0,3d3,3d3,002,0,0c,20d,380
20,20,0,0,0,3d3,3d3,002,0,0d,20d,380
21,21,0,0,0,3d3,3d3,002,0,0e,20d,380
22,22,0,0,0,3d3,3d3,002,0,0f,20d,380
23,23,0,0,0,3d3,3d3,002,0,10,20d,380
24,24,0,0,0,3d3,3d3,002,0,11,20d,380
25,25,0,0,0,3d3,3d3,002,0,12,20d,380
26,26,0,0,0,3d3,3d3,002,0,13,20d,380
27,27,0,0,0,3d3,3d3,002,0,14,20d,380
28,28,0,0,0,3d3,3d3,002,0,15,20d,380
29,29,0,0,0,3d3,3d3,002,0,16,20d,380
30,30,0,0,0,3d3,3d3,002,0,17,20d,380
31,31,0,0,0,3d3,3d3,002,0,18,20d,380
32,32,0,0,0,3d3,3d3,002,0,19,20d,380
33,33,0,0,0,3d3,3d3,002,0,1a,20d,380
34,34,0,0,0,3d3,3d3,002,0,1b,20d,380
35,35,0,0,0,3d3,3d3,002,0,1c,20d,380
36,36,0,0,0,3d3,3d3,002,0,1d,20d,380
37,37,0,0,0,3d3,3d3,002,0,1e,20d,380
38,38,0,0,0,3d3,3d3,002,0,1f,20d,380
39,39,0,0,0,3d3,3d3,002,0,20,20d,380
40,40,0,0,0,3d3,3d3,002,0,21,20d,380
41,41,0,0,0,3d3,3d3,002,0,22,20d,380
42,42,0,0,0,3d3,3d3,002,0,23,20d,380
43,43,0,0,0,3d3,3d3,002,0,24,20d,380
44,44,0,0,0,3d3,3d3,002,0,25,20d,380
45,45,0,0,0,3d3,3d3,002,0,26,20d,380
46,46,0,0,0,3d3,3d3,002,0,27,20d,380
47,47,0,0,0,3d3,3d3,002,0,28,20d,380
48,48,0,0,0,3d3,3d3,002,0,29,20d,380
49,49,0,0,0,3d3,3d3,002,0,2a,20d,380
50,50,0,0,0,3d3,3d3,002,0,2b,20d,380
51,51,0,0,0,3d3,3d3,002,0,2c,20d,380
52,52,0,0,0,3d3,3d3,002,0,2d,20d,380
53,53,0,0,0,3d3,3d3,002,0,2e,20d,380
54,54,0,0,0,3d3,3d3,002,0,2f,20d,380
55,55,0,0,0,3d3,3d3,002,0,30,20d,380
56,56,0,0,0,3d3,3d3,002,0,31,20d,380
57,57,0,0,0,3d3,3d3,002,0,32,20d,380
58,58,0,0,0,3d3,3d3,002,0,33,20d,380
59,59,0,0,0,3d3,3d3,002,0,34,20d,380
60,60,0,0,0,3d3,3d3,002,0,35,20d,380
61,61,0,0,0,3d3,3d3,002,0,36,20d,380
62,62,0,0,0,3d3,3d3,002,0,37,20d,380
63,63,0,0,0,3d3,3d3,002,0,38,20d,380
64,64,0,0,0,3d3,3d3,002,0,39,20d,380
65,65,0,0,0,3d3,3d3,002,0,3a,20d,380
66,66,0,0,0,3d3,3d3,002,0,3b,20d,380
67,67,0,0,0,3d3,3d3,002,0,3c,20d,380
68,68,0,0,0,3d3,3d3,002,0,3d,20d,380
69,69,0,0,0,3d3,3d3,002,0,3e,20d,380
70,70,0,0,0,3d3,3d3,002,0,3f,20d,380
71,71,0,0,0,3d3,3d3,002,0,40,20d,380
72,72,0,0,0,3d3,3d3,002,0,41,20d,380
73,73,0,0,0,3d3,3d3,002,0,42,20d,380
74,74,0,0,0,3d3,3d3,002,0,43,20d,380
75,75,0,0,0,3d3,3d3,002,0,44,20d,380
76,76,0,0,0,3d3,3d3,002,0,45,20d,380
77,77,0,0,0,3d3,3d3,002,0,46,20d,380
78,78,0,0,0,3d3,3d3,002,0,47,20d,380
79,79,0,0,0,3d3,3d3,002,0,48,20d,380
80,80,0,0,0,3d3,3d3,002,0,49,20d,380
81,81,0,0,0,3d3,3d3,002,0,4a,20d,380
82,82,0,0,0,3d3,3d3,002,0,4b,20d,380
83,83,0,0,0,3d3,3d3,002,0,4c,20d,380
84,84,0,0,0,3d3,3d3,002,0,4d,20d,380
85,85,0,0,0,3d3,3d3,002,0,4e,20d,380
86,86,0,0,0,3d3,3d3,002,0,4f,20d,380
87,87,0,0,0,3d3,3d3,002,0,50,20d,380
88,88,0,0,0,3d3,3d3,002,0,51,20d,380
89,89,0,0,0,3d3,3d3,002,0,52,20d,380
90,90,0,0,0,3d3,3d3,002,0,53,20d,380
91,91,0,0,0,3d3,3d3,002,0,54,20d,380
92,92,0,0,0,3d3,3d3,002,0,55,20d,380
93,93,0,0,0,3d3,3d3,002,0,56,20d,380
94,94,0,0,0,3d3,3d3,002,0,57,20d,380
95,95,0,0,0,3d3,3d3,002,0,58,20d,380
96,96,0,0,0,3d3,3d3,002,0,59,20d,380
97,97,0,0,0,3d3,3d3,002,0,5a,20d,380
98,98,0,0,0,3d3,3d3,002,0,5b,20d,380
99,99,0,0,0,3d3,3d3,002,0,5c,20d,380
100,100,0,0,0,3d3,3d3,002,0,5d,20d,380
101,101,0,0,0,3d3,3d3,002,0,5e,20d,380
102,102,0,0,0,3d3,3d3,002,0,5f,20d,380
103,103,0,0,0,3d3,3d3,002,0,60,20d,380
104,104,0,0,0,3d3,3d3,002,0,61,20d,380
105,105,0,0,0,3d3,3d3,002,0,62,20d,380
106,106,0,0,0,3d3,3d3,002,0,63,20d,380
107,107,0,0,0,3d3,3d3,002,0,64,20d,380
108,108,0,0,0,3d3,3d3,002,0,65,20d,380
109,109,0,0,0,3d3,3d3,002,0,66,20d,380
110,110,0,0,0,3d3,3d3,002,0,67,20d,380
111,111,0,0,0,3d3,3d3,002,0,68,20d,380
112,112,0,0,0,3d3,3d3,002,0,69,20d,380
113,113,0,0,0,3d3,3d3,002,0,6a,20d,380
114,114,0,0,0,3d3,3d3,002,0,6b,20d,380
115,115,0,0,0,3d3,3d3,002,0,6c,20d,380
116,116,0,0,0,3d3,3d3,002,0,6d,20d,380
117,117,0,0,0,3d3,3d3,002,0,6e,20d,380
118,118,0,0,0,3d3,3d3,002,0,6f,20d,380
119,119,0,0,0,3d3,3d3,002,0,70,20d,380
120,120,0,0,0,3d3,3d3,002,0,71,20d,380
121,121,0,0,0,3d3,3d3,002,0,72,20d,380
