Sample in Buffer,Sample in Window,TRIGGER,clk_200m,timeout_cnt_flag,tx_time[9:0],rx_time[9:0],delay[9:0],rec_pkt_done1,t_hz_1[7:0],us_1[9:0],ms[9:0]
0,0,0,0,0,09f,0a5,006,0,0f,186,382
1,1,0,0,0,09f,0a5,006,0,10,186,382
2,2,0,0,0,09f,0a5,006,0,11,186,382
3,3,0,0,0,09f,0a5,006,0,12,186,382
4,4,0,0,0,09f,0a5,006,0,13,186,382
5,5,0,0,0,09f,0a5,006,0,14,186,382
6,6,0,0,0,09f,0a5,006,0,15,186,382
7,7,0,0,0,09f,0a5,006,0,16,186,382
8,8,0,0,0,09f,0a5,006,0,17,186,382
9,9,0,0,0,09f,0a5,006,0,18,186,382
10,10,0,0,0,09f,0a5,006,0,19,186,382
11,11,0,0,0,09f,0a5,006,0,1a,186,382
12,12,0,0,0,09f,0a5,006,0,1b,186,382
13,13,0,0,0,09f,0a5,006,0,1c,186,382
14,14,0,0,0,09f,0a5,006,0,1d,186,382
15,15,0,0,0,09f,0a5,006,0,1e,186,382
16,16,0,0,0,09f,0a5,006,0,1f,186,382
17,17,0,0,0,09f,0a5,006,0,20,186,382
18,18,0,0,0,09f,0a5,006,0,21,186,382
19,19,0,0,0,09f,0a5,006,0,22,186,382
20,20,0,0,0,09f,0a5,006,0,23,186,382
21,21,0,0,0,09f,0a5,006,0,24,186,382
22,22,0,0,0,09f,0a5,006,0,25,186,382
23,23,0,0,0,09f,0a5,006,0,26,186,382
24,24,0,0,0,09f,0a5,006,0,27,186,382
25,25,0,0,0,09f,0a5,006,0,28,186,382
26,26,0,0,0,09f,0a5,006,0,29,186,382
27,27,0,0,0,09f,0a5,006,0,2a,186,382
28,28,0,0,0,09f,0a5,006,0,2b,186,382
29,29,0,0,0,09f,0a5,006,0,2c,186,382
30,30,0,0,0,09f,0a5,006,0,2d,186,382
31,31,0,0,0,09f,0a5,006,0,2e,186,382
32,32,0,0,0,09f,0a5,006,0,2f,186,382
33,33,0,0,0,09f,0a5,006,0,30,186,382
34,34,0,0,0,09f,0a5,006,0,31,186,382
35,35,0,0,0,09f,0a5,006,0,32,186,382
36,36,0,0,0,09f,0a5,006,0,33,186,382
37,37,0,0,0,09f,0a5,006,0,34,186,382
38,38,0,0,0,09f,0a5,006,0,35,186,382
39,39,0,0,0,09f,0a5,006,0,36,186,382
40,40,0,0,0,09f,0a5,006,0,37,186,382
41,41,0,0,0,09f,0a5,006,0,38,186,382
42,42,0,0,0,09f,0a5,006,0,39,186,382
43,43,0,0,0,09f,0a5,006,0,3a,186,382
44,44,0,0,0,09f,0a5,006,0,3b,186,382
45,45,0,0,0,09f,0a5,006,0,3c,186,382
46,46,0,0,0,09f,0a5,006,0,3d,186,382
47,47,0,0,0,09f,0a5,006,0,3e,186,382
48,48,0,0,0,09f,0a5,006,0,3f,186,382
49,49,0,0,0,09f,0a5,006,0,40,186,382
50,50,0,0,0,09f,0a5,006,0,41,186,382
